ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	1	14	2	""	""	3625	1435	200	33	35	22	62	30	30	34	37	108	1	1	0	44383	0.027	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	5	3	5	1272	3908	100	32
0	0	0	1	15	2	""	""	3885	1435	200	33	36	22	61	33	33	38	55	144	1	1	0	45522	-0.036	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	3	0	3	1272	3908	100	33
0	0	0	1	16	2	""	""	4145	1435	200	30	36	51	141	31	31	34	32	94	4	2	0	46121	0.063	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	-1	5	-1	5	1272	3908	100	34
0	0	0	1	17	2	""	""	4405	1435	200	31	35	45	128	31	31	33	14	42	7	3	0	45108	0.143	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	4	0	4	1272	3908	100	35
0	0	0	1	18	2	""	""	4665	1435	200	36	54	125	231	34	34	37	23	62	9	4	0	68071	0.739	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	20	2	20	1272	4520	100	36
0	0	0	1	1	3	""	""	155	1660	200	36	44	24	54	31	31	38	73	192	4	0	0	55871	0.082	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	13	5	13	1272	2594	100	37
0	0	0	1	2	3	""	""	415	1660	200	37	57	54	94	32	32	45	227	504	1	0	0	72519	0.053	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	25	5	25	1272	3741	100	38
0	0	0	1	3	3	""	""	675	1660	200	42	60	46	76	33	33	35	25	71	24	16	0	75793	1.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	9	27	9	27	1272	3737	100	39
0	0	0	1	4	3	""	""	935	1660	200	34	54	56	103	30	30	34	49	144	12	10	0	68213	0.408	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	24	4	24	1272	3760	100	40
0	0	0	1	5	3	""	""	1195	1660	200	34	56	61	108	29	29	31	16	51	23	18	0	71636	1.563	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	5	27	5	27	1272	3774	100	41
