ATF	1.0
30	41    
"Type=GenePix Export 3"
"DateTime=2016/05/05 18:23:45"
"Settings=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Margreet\Block setttings\3x8-22x18 HMO 3rd-3.gps"
"GalFile="
"PixelSize=5"
"Wavelengths=635"
"ImageFiles=C:\Documents and Settings\GenePix\Desktop\Lab 3044\Anthony\05_04_2016\10087926_gain 400.tif 1"
"NormalizationMethod=None"
"NormalizationFactors=1"
"JpegImage="
"StdDev=Type 1"
"RatioFormulations=W1/W2 (635/#2)"
"FeatureType=Circular"
"Barcode="
"BackgroundSubtraction=LocalFeature"
"ImageOrigin=45, 0"
"JpegOrigin=45, 715"
"Creator=GenePix Pro 7.2.29.002"
"Scanner=GenePix 4000B [86761]"
"FocusPosition=0"
"Temperature=0"
"LinesAveraged=1"
"Comment="
"PMTGain=400"
"ScanPower=100"
"LaserPower=3.32"
"Filters=<Empty>"
"ScanRegion=9,0,4400,14300"
"ScanArea=1"
"Supplier="
"Flags"	"Normalize"	"Autoflag"	"Block"	"Column"	"Row"	"Name"	"ID"	"X"	"Y"	"Dia."	"F635 Median"	"F635 Mean"	"F635 SD"	"F635 CV"	"B635"	"B635 Median"	"B635 Mean"	"B635 SD"	"B635 CV"	"% > B635+1SD"	"% > B635+2SD"	"F635 % Sat."	"F635 Total Intensity"	"SNR 635"	"Ratio of Medians (635/#2)"	"Ratio of Means (635/#2)"	"Median of Ratios (635/#2)"	"Mean of Ratios (635/#2)"	"Ratios SD (635/#2)"	"Rgn Ratio (635/#2)"	"Rgn R2 (635/#2)"	"Log Ratio (635/#2)"	"F635 Median - B635"	"F635 Mean - B635"	"Sum of Medians (635/#2)"	"Sum of Means (635/#2)"	"F Pixels"	"B Pixels"	"Circularity"	"Index"
0	0	0	10	11	10	""	""	2885	30500	200	28	49	59	120	27	27	28	14	50	15	13	0	62942	1.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	22	1	22	1272	3649	100	3737
0	0	0	10	12	10	""	""	3170	30500	200	28	45	41	91	27	27	29	24	82	17	16	0	57401	0.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	18	1	18	1272	4395	100	3738
0	0	0	10	13	10	""	""	3465	30475	200	28	32	15	46	27	27	27	6	22	24	12	0	40616	0.833	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	5	1	5	1272	3793	100	3739
0	0	0	10	14	10	""	""	3690	30500	200	29	33	14	42	27	27	27	5	18	31	17	0	41513	1.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	6	2	6	1272	3616	100	3740
0	0	0	10	15	10	""	""	3950	30500	200	28	33	15	45	27	27	27	5	18	30	16	0	41762	1.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	6	1	6	1272	3648	100	3741
0	0	0	10	16	10	""	""	4180	30500	200	30	43	47	109	28	28	28	6	21	31	22	0	55313	2.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	15	2	15	1272	3969	100	3742
0	0	0	10	17	10	""	""	4485	30480	200	30	39	28	71	28	28	28	6	21	31	21	0	50024	1.833	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	11	2	11	1272	4093	100	3743
0	0	0	10	18	10	""	""	4730	30500	200	30	38	26	68	28	28	30	23	76	13	8	0	48547	0.348	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	10	2	10	1272	4399	100	3744
0	0	0	10	1	11	""	""	310	30760	200	27	43	47	109	26	26	27	11	40	13	11	0	54391	1.455	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	17	1	17	1272	4520	100	3745
0	0	0	10	2	11	""	""	570	30760	200	30	59	65	110	27	27	28	12	42	26	20	0	74627	2.583	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	32	3	32	1272	3890	100	3746
0	0	0	10	3	11	""	""	830	30760	200	29	54	57	105	27	27	29	21	72	21	19	0	69295	1.190	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	27	2	27	1272	3829	100	3747
0	0	0	10	4	11	""	""	1090	30760	200	28	52	57	109	26	26	26	5	19	33	24	0	66444	5.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	26	2	26	1272	3975	100	3748
0	0	0	10	5	11	""	""	1350	30760	200	26	41	47	114	25	25	26	11	42	15	13	0	52786	1.364	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	16	1	16	1272	3898	100	3749
0	0	0	10	6	11	""	""	1610	30760	200	27	42	38	90	25	25	26	11	42	19	17	0	53096	1.455	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	17	2	17	1272	3916	100	3750
0	0	0	10	7	11	""	""	1870	30760	200	27	32	17	53	26	26	26	7	26	21	15	0	40903	0.857	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	6	1	6	1272	3908	100	3751
0	0	0	10	8	11	""	""	2130	30760	200	28	38	27	71	26	26	26	8	30	24	18	0	48098	1.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	12	2	12	1272	4119	100	3752
0	0	0	10	9	11	""	""	2390	30760	200	27	40	37	92	26	26	27	8	29	20	14	0	50426	1.625	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	14	1	14	1272	3908	100	3753
0	0	0	10	10	11	""	""	2650	30760	200	29	65	77	118	27	27	28	11	39	28	24	0	82393	3.364	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	38	2	38	1272	3952	100	3754
0	0	0	10	11	11	""	""	2910	30760	200	31	60	74	123	27	27	29	26	89	20	16	0	76001	1.192	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	4	33	4	33	1272	3922	100	3755
0	0	0	10	12	11	""	""	3170	30760	200	30	49	51	104	27	27	28	22	78	19	16	0	62431	0.955	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	22	3	22	1272	3908	100	3756
0	0	0	10	13	11	""	""	3430	30760	200	28	37	32	86	27	27	27	6	22	22	13	0	46698	1.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	10	1	10	1272	4176	100	3757
0	0	0	10	14	11	""	""	3690	30760	200	28	39	34	87	27	27	27	5	18	29	18	0	50127	2.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	12	1	12	1272	3905	100	3758
0	0	0	10	15	11	""	""	3950	30760	200	28	37	28	75	27	27	27	5	18	27	15	0	46912	2.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	10	1	10	1272	3877	100	3759
0	0	0	10	16	11	""	""	4210	30760	200	29	65	220	338	28	28	28	9	32	20	16	0	82950	4.111	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	37	1	37	1272	3923	100	3760
0	0	0	10	17	11	""	""	4470	30760	200	29	44	60	136	28	28	28	9	32	19	14	0	56001	1.778	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	16	1	16	1272	4075	100	3761
0	0	0	10	18	11	""	""	4730	30760	200	31	46	51	110	28	28	28	6	21	33	20	0	58581	3.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	18	3	18	1272	4520	100	3762
0	0	0	10	1	12	""	""	310	31020	200	27	28	7	25	26	26	26	10	38	11	3	0	35530	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4520	100	3763
0	0	0	10	2	12	""	""	570	31020	200	29	34	22	64	26	26	27	11	40	19	12	0	42637	0.636	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	8	3	8	1272	3648	100	3764
0	0	0	10	3	12	""	""	800	31025	200	28	32	15	46	26	26	27	11	40	22	11	0	41299	0.455	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	6	2	6	1272	3311	100	3765
0	0	0	10	4	12	""	""	1025	31020	200	27	29	8	27	26	26	26	5	19	22	13	0	36273	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3942	100	3766
0	0	0	10	5	12	""	""	1350	31020	200	26	28	7	25	25	25	26	10	38	11	4	0	35147	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	4212	100	3767
0	0	0	10	6	12	""	""	1590	31020	200	26	27	6	22	25	25	26	10	38	9	2	0	34080	0.100	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3896	100	3768
0	0	0	10	7	12	""	""	1870	31020	200	26	26	5	19	25	25	25	5	20	15	5	0	33123	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4283	100	3769
0	0	0	10	8	12	""	""	2155	31045	200	26	27	6	22	25	25	26	6	23	19	6	0	34791	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3770	100	3770
0	0	0	10	9	12	""	""	2390	31020	200	26	27	7	25	26	26	26	6	23	17	7	0	34860	0.167	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3912	100	3771
0	0	0	10	10	12	""	""	2680	31020	200	28	33	23	69	26	26	27	10	37	21	12	0	42559	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	7	2	7	1272	3525	100	3772
0	0	0	10	11	12	""	""	2885	31025	200	29	32	15	46	27	27	28	12	42	13	8	0	41331	0.333	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	5	2	5	1272	3596	100	3773
0	0	0	10	12	12	""	""	3170	31020	200	28	31	9	29	27	27	27	8	29	18	9	0	38930	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	4286	100	3774
0	0	0	10	13	12	""	""	3450	31025	200	29	37	23	62	27	27	27	6	22	28	18	0	46910	1.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	10	2	10	1272	3891	100	3775
0	0	0	10	14	12	""	""	3690	31020	200	28	39	27	69	27	27	27	5	18	31	20	0	49756	2.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	12	1	12	1272	3736	100	3776
0	0	0	10	15	12	""	""	3950	31020	200	29	37	21	56	27	27	27	6	22	29	19	0	46609	1.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	10	2	10	1272	3908	100	3777
0	0	0	10	16	12	""	""	4210	31020	200	28	34	17	50	28	28	28	9	32	16	14	0	43189	0.667	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	6	0	6	1272	3908	100	3778
0	0	0	10	17	12	""	""	4470	31020	200	30	38	21	55	28	28	28	8	28	24	18	0	47720	1.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	10	2	10	1272	3908	100	3779
0	0	0	10	18	12	""	""	4730	31020	200	30	37	19	51	28	28	29	18	62	16	11	0	46821	0.444	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	9	2	9	1272	4520	100	3780
0	0	0	10	1	13	""	""	310	31280	200	26	26	5	19	26	26	26	5	19	8	1	0	32926	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	4520	100	3781
0	0	0	10	2	13	""	""	570	31280	200	27	28	9	32	25	25	25	5	20	25	7	0	35647	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3863	100	3782
0	0	0	10	3	13	""	""	830	31280	200	27	28	6	21	25	25	28	72	257	0	0	0	35719	0.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3745	100	3783
0	0	0	10	4	13	""	""	1090	31280	200	25	25	4	16	25	25	25	4	16	13	3	0	32217	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3975	100	3784
0	0	0	10	5	13	""	""	1350	31280	200	25	25	4	16	25	25	25	6	24	6	1	0	32011	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3898	100	3785
0	0	0	10	6	13	""	""	1610	31280	200	25	25	4	16	25	25	25	6	24	5	0	0	31667	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3916	100	3786
0	0	0	10	7	13	""	""	1870	31280	200	26	26	6	23	25	25	25	7	28	14	4	0	33501	0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	4111	100	3787
0	0	0	10	8	13	""	""	2155	31275	200	27	28	7	25	25	25	25	7	28	21	6	0	35395	0.429	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	3	2	3	1272	3678	100	3788
0	0	0	10	9	13	""	""	2390	31280	200	26	28	7	25	25	25	25	6	24	20	8	0	35089	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3578	100	3789
0	0	0	10	10	13	""	""	2650	31280	200	27	30	11	36	26	26	26	6	23	21	11	0	37713	0.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3543	100	3790
0	0	0	10	11	13	""	""	2870	31275	200	28	31	13	41	27	27	27	7	25	21	13	0	39991	0.571	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3459	100	3791
0	0	0	10	12	13	""	""	3145	31280	200	28	29	8	27	27	27	27	8	29	15	6	0	37455	0.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4237	100	3792
0	0	0	10	13	13	""	""	3430	31280	200	28	30	10	33	27	27	27	8	29	15	9	0	38541	0.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	4075	100	3793
0	0	0	10	14	13	""	""	3690	31280	200	28	30	9	30	27	27	27	5	18	29	13	0	38266	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3888	100	3794
0	0	0	10	15	13	""	""	3950	31280	200	28	30	9	30	27	27	28	7	25	22	10	0	38460	0.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	3795
0	0	0	10	16	13	""	""	4210	31280	200	29	31	10	32	27	27	28	6	21	25	10	0	38955	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	4	2	4	1272	3908	100	3796
0	0	0	10	17	13	""	""	4470	31280	200	30	40	38	95	28	28	29	19	65	13	7	0	50777	0.579	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	12	2	12	1272	3908	100	3797
0	0	0	10	18	13	""	""	4730	31280	200	29	32	16	50	28	28	29	18	62	7	2	0	41168	0.167	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	4520	100	3798
0	0	0	10	1	14	""	""	310	31540	200	26	27	8	29	26	26	26	9	34	9	3	0	34979	0.111	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	4520	100	3799
0	0	0	10	2	14	""	""	570	31540	200	26	28	8	28	25	25	26	9	34	12	5	0	35176	0.222	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	3800
0	0	0	10	3	14	""	""	830	31540	200	26	29	12	41	25	25	27	71	262	0	0	0	36947	0.028	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3908	100	3801
0	0	0	10	4	14	""	""	1090	31540	200	25	27	8	29	25	25	25	4	16	19	10	0	33895	0.500	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	3908	100	3802
0	0	0	10	5	14	""	""	1350	31540	200	26	27	6	22	25	25	25	4	16	24	11	0	33995	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	3803
0	0	0	10	6	14	""	""	1610	31540	200	25	27	9	33	25	25	24	4	16	19	9	0	33806	0.750	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	2	0	2	1272	3908	100	3804
0	0	0	10	7	14	""	""	1870	31540	200	26	27	7	25	25	25	25	7	28	16	6	0	34497	0.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4149	100	3805
0	0	0	10	8	14	""	""	2160	31545	200	26	28	8	28	25	25	25	6	24	21	11	0	35569	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3883	100	3806
0	0	0	10	9	14	""	""	2390	31540	200	26	28	11	39	25	25	25	5	20	26	13	0	36029	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3639	100	3807
0	0	0	10	10	14	""	""	2650	31540	200	27	30	10	33	26	26	26	6	23	24	14	0	37866	0.667	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3867	100	3808
0	0	0	10	11	14	""	""	2910	31540	200	27	29	9	31	26	26	27	7	25	19	11	0	37057	0.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3956	100	3809
0	0	0	10	12	14	""	""	3170	31540	200	27	31	19	61	26	26	27	7	25	22	10	0	38958	0.571	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	5	1	5	1272	3919	100	3810
0	0	0	10	13	14	""	""	3430	31540	200	29	42	33	78	27	27	27	6	22	28	20	0	53282	2.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	15	2	15	1272	3908	100	3811
0	0	0	10	14	14	""	""	3690	31540	200	29	45	39	86	27	27	27	6	22	30	21	0	57795	3.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	18	2	18	1272	3908	100	3812
0	0	0	10	15	14	""	""	3950	31540	200	29	44	35	79	27	27	28	7	25	29	21	0	55806	2.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	17	2	17	1272	3908	100	3813
0	0	0	10	16	14	""	""	4210	31540	200	29	41	30	73	27	27	27	7	25	28	20	0	52739	2.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	14	2	14	1272	3908	100	3814
0	0	0	10	17	14	""	""	4470	31540	200	29	38	25	65	27	27	27	5	18	33	20	0	48803	2.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	11	2	11	1272	3908	100	3815
0	0	0	10	18	14	""	""	4730	31540	200	29	39	30	76	27	27	28	6	21	29	18	0	49048	1.833	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	12	2	12	1272	4520	100	3816
0	0	0	10	1	15	""	""	310	31800	200	27	30	11	36	26	26	27	9	33	13	6	0	37760	0.333	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	4520	100	3817
0	0	0	10	2	15	""	""	570	31800	200	28	33	23	69	26	26	26	9	34	21	12	0	42101	0.778	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	7	2	7	1272	3928	100	3818
0	0	0	10	3	15	""	""	830	31800	200	26	29	17	58	25	25	25	5	20	22	12	0	36270	0.800	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	4	1	4	1272	3865	100	3819
0	0	0	10	4	15	""	""	1090	31800	200	26	27	15	55	25	25	25	5	20	18	8	0	34771	0.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	3820
0	0	0	10	5	15	""	""	1350	31800	200	25	26	6	23	25	25	25	5	20	16	5	0	33110	0.200	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3908	100	3821
0	0	0	10	6	15	""	""	1610	31800	200	25	26	6	23	25	25	24	6	25	11	4	0	32949	0.333	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3908	100	3822
0	0	0	10	7	15	""	""	1870	31800	200	25	25	4	16	25	25	25	5	20	9	1	0	31914	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	Error	0	0	0	0	1272	3908	100	3823
0	0	0	10	8	15	""	""	2130	31800	200	26	26	6	23	25	25	25	5	20	14	2	0	32697	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3881	100	3824
0	0	0	10	9	15	""	""	2390	31800	200	26	26	5	19	25	25	25	5	20	14	2	0	32739	0.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3863	100	3825
0	0	0	10	10	15	""	""	2650	31800	200	26	26	5	19	25	25	25	4	16	17	5	0	32494	0.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	1	1	1	1272	3908	100	3826
0	0	0	10	11	15	""	""	2910	31800	200	26	27	8	29	26	26	26	7	26	8	2	0	34458	0.143	0.000	100000.000	0.000	0.000	0.000	0.000	0.000	Error	0	1	0	1	1272	3908	100	3827
0	0	0	10	12	15	""	""	3170	31800	200	27	28	10	35	26	26	27	7	25	10	1	0	35252	0.143	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	3828
0	0	0	10	13	15	""	""	3430	31800	200	28	31	14	45	26	26	27	7	25	25	13	0	39396	0.571	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	5	2	5	1272	3908	100	3829
0	0	0	10	14	15	""	""	3690	31800	200	28	30	12	40	26	26	27	7	25	23	12	0	38708	0.429	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	4	2	4	1272	3908	100	3830
0	0	0	10	15	15	""	""	3950	31800	200	28	30	8	26	27	27	27	6	22	20	12	0	37839	0.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	3831
0	0	0	10	16	15	""	""	4210	31800	200	28	30	16	53	27	27	27	7	25	20	10	0	38524	0.429	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3913	100	3832
0	0	0	10	17	15	""	""	4470	31800	200	28	30	8	26	27	27	27	8	29	16	8	0	38013	0.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3905	100	3833
0	0	0	10	18	15	""	""	4730	31800	200	28	29	7	24	27	27	27	9	33	12	4	0	37396	0.222	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4520	100	3834
0	0	0	10	1	16	""	""	310	32060	200	29	54	59	109	26	26	36	58	161	17	13	0	68927	0.310	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	28	3	28	1272	4798	100	3835
0	0	0	10	2	16	""	""	605	32060	200	28	55	59	107	25	25	26	5	19	37	26	0	69553	5.800	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	3	30	3	30	1272	3836	100	3836
0	0	0	10	3	16	""	""	830	32060	200	27	51	54	105	25	25	25	5	20	33	24	0	64949	5.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	26	2	26	1272	3604	100	3837
0	0	0	10	4	16	""	""	1090	32060	200	26	42	38	90	24	24	24	4	16	34	24	0	53191	4.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	18	2	18	1272	3908	100	3838
0	0	0	10	5	16	""	""	1350	32060	200	26	38	29	76	24	24	24	4	16	31	23	0	47756	3.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	14	2	14	1272	3908	100	3839
0	0	0	10	6	16	""	""	1610	32060	200	26	41	38	92	24	24	24	4	16	32	22	0	52412	4.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	17	2	17	1272	3908	100	3840
0	0	0	10	7	16	""	""	1870	32060	200	26	36	38	105	25	25	25	5	20	22	15	0	45403	2.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	11	1	11	1272	3908	100	3841
0	0	0	10	8	16	""	""	2130	32060	200	26	32	18	56	25	25	25	5	20	27	18	0	40933	1.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	7	1	7	1272	3908	100	3842
0	0	0	10	9	16	""	""	2390	32060	200	26	35	25	71	25	25	25	5	20	28	19	0	44318	2.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	10	1	10	1272	3908	100	3843
0	0	0	10	10	16	""	""	2650	32060	200	26	32	22	68	25	25	25	7	28	21	13	0	40846	1.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	7	1	7	1272	3908	100	3844
0	0	0	10	11	16	""	""	2910	32060	200	27	34	27	79	25	25	25	7	28	22	14	0	43504	1.286	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	9	2	9	1272	3908	100	3845
0	0	0	10	12	16	""	""	3170	32060	200	27	32	23	71	26	26	26	5	19	21	12	0	40931	1.200	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	6	1	6	1272	3908	100	3846
0	0	0	10	13	16	""	""	3430	32060	200	27	28	7	25	26	26	26	5	19	16	7	0	35154	0.400	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	3908	100	3847
0	0	0	10	14	16	""	""	3690	32060	200	27	29	8	27	26	26	26	4	15	29	15	0	36655	0.750	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	3848
0	0	0	10	15	16	""	""	3950	32060	200	28	30	10	33	27	27	27	5	18	26	13	0	38289	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	4032	100	3849
0	0	0	10	16	16	""	""	4225	32060	200	28	30	10	33	27	27	27	5	18	25	10	0	37849	0.600	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3908	100	3850
0	0	0	10	17	16	""	""	4470	32060	200	29	31	10	32	28	28	28	8	28	15	9	0	39591	0.375	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	3	1	3	1272	3780	100	3851
0	0	0	10	18	16	""	""	4730	32060	200	29	30	9	30	28	28	28	8	28	12	6	0	38643	0.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	2	1	2	1272	4520	100	3852
0	0	0	10	1	17	""	""	310	32320	200	27	35	24	68	26	26	36	59	163	6	1	0	44026	-0.017	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	9	1	9	1272	4520	100	3853
0	0	0	10	2	17	""	""	570	32320	200	26	34	21	61	25	25	25	4	16	28	20	0	43167	2.250	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	9	1	9	1272	3928	100	3854
0	0	0	10	3	17	""	""	830	32320	200	25	34	26	76	24	24	24	4	16	28	19	0	42966	2.500	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	10	1	10	1272	3865	100	3855
0	0	0	10	4	17	""	""	1090	32320	200	26	32	22	68	24	24	24	4	16	30	19	0	40695	2.000	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	2	8	2	8	1272	3838	100	3856
0	0	0	10	5	17	""	""	1350	32320	200	25	31	18	58	24	24	24	4	16	27	18	0	39204	1.750	100000.000	100000.000	0.000	0.000	0.000	0.000	0.000	16.610	1	7	1	7	1272	3848	100	3857
